Peilbuis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
003Xdiep,0.066603,0.11569,0.085114,0.057871,0.014357,0.062267,0.080377,0.072209,0.053871,0.068048,0.086636,0.058164,0.010533,0.053428,0.081869,0.069006,0.014857,0.052179,0.084407,0.053867,-0.0029913,0.0035915,0.09355,0.072126,-0.007299,0.02895,0.084699,0.038747,0.0021732,0.058264,0.054129,0.034735,-0.0020209,0.020048,0.036365,0.049705,0.00087484,0.019298,0.041314,0.027307,0.015278,-0.0098752,0.041541,0.029575,-0.033395,0.01356,0.050102,0.056312,-0.028197,-0.011973,0.077398,0.053192,0.0050348,0.023945,0.082316,0.04263,-0.054207,-0.050985,0.027009,-0.0036479,-0.062991,-0.00059289,0.050462,0.054537,-0.062685,-0.076748,-0.045586,-0.046435,-0.097844,-0.10079,-0.046475,-0.049795,-0.10147,-0.042593,0.00031393,-0.033055,-0.094377,-0.08395,0.00082926,-0.015788,-0.080799,-0.10551,-0.062348,0.014527,-0.0046066,-0.01064,0.046462,0.0055338,-0.13569,-0.11992,0.0065295,0.045616
003Xondiep,0.02785,0.03093,0.020017,0.016185,0.010582,0.022385,0.021317,0.018156,0.017278,0.019403,0.023922,0.010463,0.0043067,0.022062,0.019365,0.015577,0.0070049,0.019969,0.020528,0.0078734,5.24E-05,0.013239,0.025355,0.012358,-0.0023972,0.017739,0.022161,0.0045716,0.0044982,0.020962,0.0077398,0.0096115,0.0014524,0.010318,0.012663,0.013333,0.00060583,0.011317,0.012626,0.010502,0.0040319,0.008232,0.014239,0.014098,-0.0075519,0.020817,0.020353,0.01337,-0.00038024,0.017447,0.035661,0.01983,0.012253,0.031244,0.036097,0.016886,-0.0033711,0.013324,0.022696,0.0072364,-0.0012848,0.02364,0.027369,0.018765,-0.008208,0.0033676,0.013405,-0.0011361,-0.0098823,-0.0023202,0.01575,-0.0018303,-0.0092638,0.01899,0.015187,0.0013965,-0.015268,0.0067218,0.021432,0.010707,-0.016603,-0.0079322,0.015746,0.023718,0.0050174,0.021115,0.024568,0.0046319,-0.025742,0.0035337,0.021229,0.020567
7-0139,0.069307,0.12901,0.10957,0.087899,0.045255,0.087319,0.10784,0.10273,0.083612,0.096469,0.1179,0.088408,0.03483,0.073303,0.10347,0.093648,0.036863,0.072181,0.10416,0.075998,0.013568,0.012606,0.10645,0.089543,0.0048116,0.036652,0.095696,0.053595,0.011212,0.068145,0.065857,0.047067,0.0076757,0.025979,0.043854,0.061263,0.01339,0.029742,0.051745,0.040389,0.031026,0.0039067,0.054963,0.04872,-0.018706,0.026663,0.069343,0.080685,-0.0040865,0.0096846,0.10714,0.095977,0.051289,0.069783,0.13695,0.10516,0.0025751,-0.0038828,0.073138,0.045661,-0.02323,0.037915,0.094399,0.10717,-0.014104,-0.036841,-0.011244,-0.011088,-0.075417,-0.083989,-0.028979,-0.02555,-0.085924,-0.022277,0.028587,0.00090567,-0.074074,-0.071834,0.020641,0.018506,-0.054435,-0.093157,-0.051608,0.03772,0.028839,0.023306,0.085754,0.052587,-0.111,-0.10936,0.023732,0.075285
BVBP008Xdiep,0.028426,0.090292,0.095907,0.082113,0.060823,0.055581,0.078507,0.081282,0.068884,0.069513,0.094827,0.082237,0.039275,0.040408,0.081584,0.079792,0.041865,0.041818,0.074948,0.079497,0.026464,0.00090361,0.065402,0.083482,0.031506,0.013217,0.065883,0.064511,0.018222,0.039846,0.060848,0.041716,0.020478,0.013732,0.027936,0.044906,0.02791,0.018256,0.036994,0.033914,0.03412,0.0077107,0.033708,0.040336,0.007901,-0.0010928,0.039604,0.061666,0.018567,-0.0067159,0.046389,0.072692,0.038543,0.028003,0.066703,0.069048,0.0078451,-0.029683,0.0031346,0.013282,-0.026171,-0.020318,0.022772,0.048697,0.002607,-0.037037,-0.041784,-0.026837,-0.059178,-0.073069,-0.062366,-0.035729,-0.062358,-0.053356,-0.0087075,-0.0084766,-0.043952,-0.063907,-0.02947,-0.0056158,-0.033466,-0.065346,-0.06329,-0.014301,0.0085038,-0.010573,0.026939,0.036367,-0.053034,-0.091429,-0.04122,0.0272
BVBP008Xondiep,0.022598,0.075631,0.085811,0.074406,0.055338,0.047826,0.066634,0.071013,0.061215,0.060283,0.081586,0.073806,0.037331,0.032881,0.069067,0.07009,0.040397,0.034767,0.063353,0.070801,0.026984,0.00083542,0.052027,0.07325,0.033129,0.010496,0.054091,0.058185,0.019131,0.032313,0.052812,0.037916,0.019924,0.011653,0.023416,0.037753,0.026417,0.01561,0.031017,0.029817,0.030118,0.0081312,0.026988,0.035044,0.010056,-0.00228,0.0317,0.052546,0.020197,-0.0070804,0.034485,0.061864,0.0347,0.021508,0.052076,0.057826,0.0076556,-0.030992,-0.0068673,0.0056268,-0.025547,-0.024739,0.011524,0.036503,0.0025775,-0.036259,-0.041473,-0.028144,-0.05301,-0.057692,-0.045744,-0.027859,-0.051843,-0.040749,-0.0087998,-0.010263,-0.039164,-0.051676,-0.021842,-0.0083721,-0.030529,-0.055529,-0.047733,-0.010417,0.0041964,-0.012127,0.016923,0.029339,-0.043393,-0.076741,-0.029529,0.018833
CONSO2,0.074457,0.16624,0.14055,0.1102,0.068946,0.088738,0.12562,0.12032,0.095913,0.10802,0.14457,0.10962,0.036771,0.075382,0.12941,0.1182,0.04063,0.074784,0.12647,0.1061,0.016747,-0.0009245,0.13038,0.12279,0.01322,0.033458,0.12138,0.081295,0.012918,0.078549,0.089331,0.058779,0.016295,0.025395,0.050841,0.07674,0.02373,0.030686,0.060549,0.048674,0.041915,-0.0014631,0.059799,0.055531,-0.0195,0.0081446,0.070675,0.093908,-0.0066405,-0.01777,0.095907,0.099367,0.031807,0.035621,0.10978,0.085591,-0.040043,-0.073324,0.015695,0.0056488,-0.074261,-0.027547,0.050917,0.077025,-0.045163,-0.095493,-0.079076,-0.059002,-0.12597,-0.14215,-0.096695,-0.066689,-0.13089,-0.083624,-0.0085584,-0.033591,-0.10771,-0.1237,-0.031661,-0.017335,-0.089597,-0.1382,-0.10841,-0.0056785,0.0029268,-0.024664,0.053867,0.031678,-0.15387,-0.17662,-0.039231,0.058623
CONSO3diep,0.051592,0.12419,0.13841,0.14269,0.13583,0.12519,0.13804,0.14026,0.13404,0.13007,0.15246,0.14388,0.092664,0.082495,0.11423,0.12046,0.087145,0.08553,0.10972,0.11742,0.065147,0.032451,0.093954,0.11199,0.050787,0.029805,0.082343,0.081221,0.033567,0.060141,0.069359,0.046692,0.038747,0.030316,0.039198,0.062991,0.049611,0.043437,0.052732,0.051414,0.070805,0.045825,0.067621,0.096655,0.050519,0.055156,0.11224,0.13472,0.082166,0.073159,0.16923,0.22156,0.17481,0.17102,0.2531,0.25469,0.17222,0.13707,0.19316,0.17889,0.093444,0.13868,0.19834,0.23483,0.13638,0.10955,0.11869,0.12588,0.048351,0.038229,0.07631,0.10237,0.0383,0.081083,0.14205,0.13123,0.037496,0.025441,0.1144,0.1571,0.078461,0.021215,0.051766,0.14328,0.15593,0.12226,0.17701,0.19313,0.027634,-0.0064387,0.10887,0.18291
CONSO3ondiep,0.038632,0.080718,0.079433,0.077609,0.069903,0.063007,0.071503,0.071758,0.06645,0.064627,0.080335,0.071349,0.03772,0.036721,0.059628,0.061621,0.037319,0.039927,0.056959,0.059705,0.024108,0.0067064,0.054847,0.060427,0.016778,0.0085512,0.046247,0.040548,0.0086915,0.030625,0.034403,0.018993,0.013471,0.0098701,0.017135,0.032565,0.021115,0.018363,0.024968,0.023797,0.035478,0.018543,0.035164,0.054599,0.019521,0.030922,0.069077,0.078185,0.039366,0.038131,0.10697,0.13057,0.092268,0.092906,0.14743,0.13962,0.08131,0.068135,0.11479,0.099977,0.042457,0.087866,0.12472,0.14192,0.066856,0.060489,0.075293,0.078662,0.022243,0.02848,0.061842,0.070462,0.021029,0.064991,0.098719,0.080308,0.011258,0.021394,0.087759,0.10454,0.038352,0.013306,0.047027,0.10769,0.099185,0.074431,0.11318,0.11575,-0.0033049,0.001271,0.092842,0.1299
CONSO4,0.0036324,0.039979,0.086686,0.1068,0.11727,0.11537,0.1099,0.11017,0.11291,0.11449,0.11443,0.12085,0.11514,0.088696,0.0783,0.081344,0.085546,0.074728,0.073076,0.083677,0.085275,0.057441,0.039347,0.06402,0.078939,0.045694,0.031529,0.048968,0.050113,0.032197,0.039247,0.035723,0.025197,0.017836,0.0090602,0.011923,0.028016,0.028702,0.024601,0.023589,0.029035,0.040774,0.039775,0.047459,0.066546,0.048954,0.053654,0.087606,0.10535,0.081041,0.077485,0.12861,0.16921,0.15954,0.1629,0.1988,0.20672,0.16567,0.1454,0.16545,0.15706,0.11689,0.13282,0.17347,0.19683,0.15666,0.12899,0.12635,0.11616,0.074275,0.056193,0.077508,0.086759,0.061502,0.082989,0.11969,0.11852,0.068243,0.053853,0.095131,0.12965,0.095266,0.057945,0.071597,0.12045,0.13495,0.13621,0.16554,0.16614,0.07906,0.042386,0.096096
CONSO6,0.011586,0.036054,0.039271,0.034479,0.024811,0.02313,0.03304,0.034391,0.030242,0.030183,0.039202,0.035478,0.019031,0.018385,0.033412,0.033507,0.019801,0.018605,0.031122,0.033378,0.01338,0.0025679,0.025937,0.034018,0.014809,0.007217,0.026232,0.026483,0.0094318,0.016502,0.024672,0.018093,0.0097788,0.0064189,0.011826,0.018439,0.011947,0.0075659,0.014911,0.014124,0.01392,0.0031591,0.012664,0.016001,0.0036675,-0.00051932,0.015487,0.025194,0.0086738,-0.0023775,0.018546,0.030007,0.017327,0.012894,0.029035,0.031567,0.0070344,-0.0092261,0.0047556,0.0086113,-0.0073869,-0.0060373,0.012404,0.023606,0.004611,-0.0136,-0.015645,-0.0095387,-0.022529,-0.029546,-0.024802,-0.013948,-0.025075,-0.022281,-0.004155,-0.004054,-0.017652,-0.026902,-0.011482,-0.0023823,-0.013231,-0.027158,-0.026413,-0.0057669,0.0033195,-0.0037674,0.012509,0.015946,-0.018606,-0.037085,-0.016334,0.010912
